Level,Region,Dataset,Kind,Period,18/19,19/20,20/21,21/22,22/23,23/24,24/25,25/26,26/27
country,BR,Acucar,flow,Apr (1),725011,391830,1008761,687810,128797,582476,771216.0,826564,742247.0
country,BR,Acucar,flow,Apr (2),1408504,1040583,2027549,1538320,940542,999606,1856117.0,848519,1763102.0
country,BR,Acucar,flow,May (1),1891058,1600005,2478993,2414833,1572139,2508210,2586616.0,2438177,2115604.0
country,BR,Acucar,flow,May (2),1262081,1875131,2540420,2614067,2302254,2824184,2724717.0,2914245,2192552.0
country,BR,Acucar,flow,Jun (1),1996337,1845183,2556058,2044809,2251343,2513737,3138744.0,2389747,2324129.0
country,BR,Acucar,flow,Jun (2),2234540,2069420,2740230,2931301,2483213,2699635,3280239.0,2899380,1622665.0
country,BR,Acucar,flow,Jul (1),2314030,2107092,3028636,3007774,2797550,3405491,2966513.0,3403812,3202027.0
country,BR,Acucar,flow,Jul (2),2586550,2542468,3444803,3159784,3525459,3666980,3634366.0,3668965,3020264.0
country,BR,Acucar,flow,Aug (1),1688025,2047404,3235155,3006653,2612832,3448936,3114100.0,3637481,
country,BR,Acucar,flow,Aug (2),2240001,2604297,3024379,2984804,3203607,3590951,3392242.0,3976461,
country,BR,Acucar,flow,Sep (1),2439008,2121976,3306262,2633064,2913670,3129153,3313438.0,3723274,
country,BR,Acucar,flow,Sep (2),1462185,1963181,3043342,2606383,1998287,3600260,3131685.0,3234560,
country,BR,Acucar,flow,Oct (1),1300662,2159934,2874839,1456565,2105657,2598276,2756733.0,2803494,
country,BR,Acucar,flow,Oct (2),1195394,1887917,2034579,1127849,2452099,2748808,2174890.0,2429109,
country,BR,Acucar,flow,Nov (1),1082952,1047679,1503017,894726,1925994,2543154,1325425.0,1267940,
country,BR,Acucar,flow,Nov (2),788587,624363,677777,413420,1303084,1780697,1421432.0,1067324,
country,BR,Acucar,flow,Dec (1),697414,289590,391898,284987,522627,1255514,669011.0,546105,
country,BR,Acucar,flow,Dec (2),292601,270204,271229,237492,384464,357581,412433.0,323582,
country,BR,Acucar,flow,Jan (1),899839,555789,229993,220966,269794,306742,262775.0,282940,
country,BR,Acucar,flow,Jan (2),206944,245338,212579,176213,234083,315686,275874.0,238703,
country,BR,Acucar,flow,Feb (1),100038,161380,193749,167660,219282,297885,302977.0,160357,
country,BR,Acucar,flow,Feb (2),55679,-16006,132761,148686,158428,174079,-14310.0,129603,
country,BR,Acucar,flow,Mar (1),49961,-117442,112306,129229,218899,185472,83561.0,84998,
country,BR,Acucar,flow,Mar (2),26789669,203341,186902,53666,371193,385444,162791.0,139392,
country,BR,Anidro Entradas,flow,Apr (1),1082354,877709,1106705,904486,1080972,876977,1241613.0,1063840,905797.0
country,BR,Anidro Entradas,flow,Apr (2),85714,100387,111280,60642,75833,61556,57511.0,63413,48112.0
country,BR,Anidro Entradas,flow,May (1),54054,133587,83194,51893,97587,71193,79509.0,95805,42183.0
country,BR,Anidro Entradas,flow,May (2),41546,94376,100061,71590,61852,51085,133831.0,83819,53728.0
country,BR,Anidro Entradas,flow,Jun (1),54724,82376,84890,87409,74923,79392,63718.0,57876,56777.0
country,BR,Anidro Entradas,flow,Jun (2),66615,80394,111636,82513,71333,87212,60189.0,60346,85915.0
country,BR,Anidro Entradas,flow,Jul (1),67407,89968,85009,109048,74191,65375,53737.0,68572,72868.0
country,BR,Anidro Entradas,flow,Jul (2),110543,117450,84882,84629,69533,134901,56040.0,61244,47673.0
country,BR,Anidro Entradas,flow,Aug (1),138767,108205,52770,77939,89016,63549,73188.0,104137,
country,BR,Anidro Entradas,flow,Aug (2),175017,91289,98849,94256,65655,66509,82449.0,66111,
country,BR,Anidro Entradas,flow,Sep (1),129098,60309,57008,100919,79963,76818,68212.0,57378,
country,BR,Anidro Entradas,flow,Sep (2),173263,105010,58350,99779,133895,72456,71535.0,100844,
country,BR,Anidro Entradas,flow,Oct (1),113529,71907,87945,134496,110283,84116,103180.0,77286,
country,BR,Anidro Entradas,flow,Oct (2),88132,67054,145205,140794,114861,115653,104403.0,92752,
country,BR,Anidro Entradas,flow,Nov (1),94906,72850,115524,173459,126270,111742,119679.0,96630,
country,BR,Anidro Entradas,flow,Nov (2),82641,111356,189270,146421,152178,110882,129533.0,100231,
country,BR,Anidro Entradas,flow,Dec (1),90627,129038,127881,141643,119578,82765,111364.0,106230,
country,BR,Anidro Entradas,flow,Dec (2),27955,164855,90962,100167,66045,64423,93543.0,60793,
country,BR,Anidro Entradas,flow,Jan (1),87036,60219,17811,59667,70117,38342,44300.0,49063,
country,BR,Anidro Entradas,flow,Jan (2),114349,116799,75572,41838,83561,80159,34906.0,81189,
country,BR,Anidro Entradas,flow,Feb (1),47866,61332,58397,73804,49820,68371,90525.0,65441,
country,BR,Anidro Entradas,flow,Feb (2),40804,75509,31203,65722,35243,63986,24122.0,61893,
country,BR,Anidro Entradas,flow,Mar (1),35379,111558,74211,40976,48357,78145,42714.0,56220,
country,BR,Anidro Entradas,flow,Mar (2),3087410,205645,56876,77406,76136,76597,61208.0,102814,
country,BR,Anidro Estoque E.Disp,stock,Apr (1),609207,450597,909102,520931,556560,637577,777324.0,673204,666462.0
country,BR,Anidro Estoque E.Disp,stock,Apr (2),734062,433149,1098108,510360,394397,497197,746891.0,443693,707414.0
country,BR,Anidro Estoque E.Disp,stock,May (1),1006737,682428,1245364,715324,603980,783359,1019402.0,588390,948601.0
country,BR,Anidro Estoque E.Disp,stock,May (2),1274470,875100,1474415,993872,850083,1139481,1370995.0,788984,1149143.0
country,BR,Anidro Estoque E.Disp,stock,Jun (1),1418655,1176978,1645842,1233211,1122017,1424620,1712182.0,1019819,1359580.0
country,BR,Anidro Estoque E.Disp,stock,Jun (2),1859999,1558707,1870201,1624333,1390838,1705703,2086491.0,1219189,1450990.0
country,BR,Anidro Estoque E.Disp,stock,Jul (1),2230693,1809039,2096752,2030006,1788540,2133216,2394328.0,1559797,1841504.0
country,BR,Anidro Estoque E.Disp,stock,Jul (2),2580808,2167662,2305497,2432448,2224673,2458378,2789605.0,1887487,2024616.0
country,BR,Anidro Estoque E.Disp,stock,Aug (1),2822328,2416794,2582126,2877146,2545257,2934572,3107790.0,2230202,
country,BR,Anidro Estoque E.Disp,stock,Aug (2),3073246,2675206,2684196,3327086,2883944,3166827,3371405.0,2657671,
country,BR,Anidro Estoque E.Disp,stock,Sep (1),3385217,2972428,2972591,3695932,3282446,3547474,3746497.0,2940466,
country,BR,Anidro Estoque E.Disp,stock,Sep (2),3527605,3071501,3230181,4053892,3313905,3846099,3997059.0,3200498,
country,BR,Anidro Estoque E.Disp,stock,Oct (1),3630608,3344760,3569461,4202403,3541667,4148953,4179848.0,3421154,
country,BR,Anidro Estoque E.Disp,stock,Oct (2),3644746,3538292,3637620,4301297,3768438,4211529,4269139.0,3575959,
country,BR,Anidro Estoque E.Disp,stock,Nov (1),3621828,3507378,3684454,4318486,3945275,4389443,4234468.0,3621637,
country,BR,Anidro Estoque E.Disp,stock,Nov (2),3501227,3389102,3586450,4099014,3870694,4289970,4092887.0,3541044,
country,BR,Anidro Estoque E.Disp,stock,Dec (1),3222499,3193762,3302787,3900503,3671267,4110099,3858831.0,3309342,
country,BR,Anidro Estoque E.Disp,stock,Dec (2),2941812,2866263,2992376,3559009,3117804,3827403,3518769.0,2997194,
country,BR,Anidro Estoque E.Disp,stock,Jan (1),2613253,2547012,2638226,3166384,2821078,3410682,3119324.0,2641619,
country,BR,Anidro Estoque E.Disp,stock,Jan (2),2319451,2256398,2214598,2792693,2333899,2923652,2749844.0,2249913,
country,BR,Anidro Estoque E.Disp,stock,Feb (1),1904149,1852605,1844116,2389323,1924155,2559307,2340874.0,1885872,
country,BR,Anidro Estoque E.Disp,stock,Feb (2),1567746,1461347,1551789,2037140,1598460,2113115,1965649.0,1605649,
country,BR,Anidro Estoque E.Disp,stock,Mar (1),1137953,1138966,1146035,1561907,1276136,1662664,1505358.0,1235200,
country,BR,Anidro Estoque E.Disp,stock,Mar (2),614587,809129,692419,930939,752470,1059412,845708.0,832762,
country,BR,Anidro Estoque E.Fisico,stock,Apr (1),773935,580467,1022824,650275,691024,711763,902130.0,738182,713845.0
country,BR,Anidro Estoque E.Fisico,stock,Apr (2),904511,561752,1179101,648679,501714,595113,845266.0,547353,782205.0
country,BR,Anidro Estoque E.Fisico,stock,May (1),1182725,798941,1393571,876811,715849,896749,1112816.0,696802,1034676.0
country,BR,Anidro Estoque E.Fisico,stock,May (2),1492462,987719,1595350,1172352,969491,1232418,1451856.0,902972,1290304.0
country,BR,Anidro Estoque E.Fisico,stock,Jun (1),1677668,1330286,1797735,1440542,1280719,1552781,1875927.0,1124956,1505608.0
country,BR,Anidro Estoque E.Fisico,stock,Jun (2),2104032,1738273,2013002,1826019,1559226,1855774,2255524.0,1324793,1564363.0
country,BR,Anidro Estoque E.Fisico,stock,Jul (1),2516755,2037288,2266416,2265104,2032205,2313744,2597063.0,1688705,1973315.0
country,BR,Anidro Estoque E.Fisico,stock,Jul (2),2889449,2405136,2481340,2686946,2487070,2650830,2980366.0,2015148,2171178.0
country,BR,Anidro Estoque E.Fisico,stock,Aug (1),3147320,2673354,2793379,3166792,2800172,3119113,3275346.0,2339681,
country,BR,Anidro Estoque E.Fisico,stock,Aug (2),3403587,2930565,2952964,3633437,3120599,3366821,3597679.0,2773197,
country,BR,Anidro Estoque E.Fisico,stock,Sep (1),3741968,3261955,3278097,4059321,3544414,3789266,3979554.0,3068076,
country,BR,Anidro Estoque E.Fisico,stock,Sep (2),3878202,3387518,3521596,4406617,3625928,4127199,4246355.0,3341749,
country,BR,Anidro Estoque E.Fisico,stock,Oct (1),3987597,3668556,3927203,4592368,3884583,4452239,4452097.0,3585798,
country,BR,Anidro Estoque E.Fisico,stock,Oct (2),3955927,3855805,3992821,4719759,4075292,4567776,4543609.0,3742301,
country,BR,Anidro Estoque E.Fisico,stock,Nov (1),3958165,3884447,4049644,4739503,4247635,4759040,4471644.0,3803943,
country,BR,Anidro Estoque E.Fisico,stock,Nov (2),3820531,3767615,3952942,4513828,4145340,4603671,4384438.0,3730181,
country,BR,Anidro Estoque E.Fisico,stock,Dec (1),3531842,3577349,3714434,4210466,3903709,4451855,4170827.0,3488552,
country,BR,Anidro Estoque E.Fisico,stock,Dec (2),3249098,3219944,3328503,3825473,3388868,4177431,3804554.0,3147192,
country,BR,Anidro Estoque E.Fisico,stock,Jan (1),2946940,2880551,2970613,3435964,3029320,3760855,3381041.0,2779104,
country,BR,Anidro Estoque E.Fisico,stock,Jan (2),2580835,2569441,2533017,3052997,2525162,3260738,2975779.0,2359679,
country,BR,Anidro Estoque E.Fisico,stock,Feb (1),2130009,2175971,2154676,2640635,2122024,2872412,2564642.0,2012837,
country,BR,Anidro Estoque E.Fisico,stock,Feb (2),1776141,1748933,1811408,2255788,1745728,2384176,2160380.0,1706686,
country,BR,Anidro Estoque E.Fisico,stock,Mar (1),1340690,1357982,1391327,1792371,1410892,1903294,1721093.0,1330465,
country,BR,Anidro Estoque E.Fisico,stock,Mar (2),754539,987522,840300,1077195,829751,1191664,1006640.0,894407,
country,BR,Anidro Producao,flow,Apr (1),188377,110664,207778,144911,66786,256711,227077.0,226757,399463.0
country,BR,Anidro Producao,flow,Apr (2),425425,318653,439058,344832,268969,301523,416259.0,285084,628566.0
country,BR,Anidro Producao,flow,May (1),622006,550624,500211,597011,577778,792168,716025.0,626304,844275.0
country,BR,Anidro Producao,flow,May (2),508357,712425,527958,789150,761867,932691,838194.0,818427,809448.0
country,BR,Anidro Producao,flow,Jun (1),671518,720428,556586,685011,757523,875249,920169.0,685469,857400.0
country,BR,Anidro Producao,flow,Jun (2),767832,803112,581034,848089,835578,865816,894987.0,779939,719656.0
country,BR,Anidro Producao,flow,Jul (1),760114,717022,675856,912234,932437,1043182,849202.0,872017,976346.0
country,BR,Anidro Producao,flow,Jul (2),847694,834524,748204,954743,1041116,987341,960954.0,940803,934815.0
country,BR,Anidro Producao,flow,Aug (1),584331,741989,731725,931072,840130,941689,842303.0,915148,
country,BR,Anidro Producao,flow,Aug (2),745459,819804,683960,923466,976371,917194,893990.0,999837,
country,BR,Anidro Producao,flow,Sep (1),698537,697029,777204,879549,911737,892831,858768.0,910786,
country,BR,Anidro Producao,flow,Sep (2),479164,627235,809812,847129,712722,902538,825683.0,876833,
country,BR,Anidro Producao,flow,Oct (1),464847,704718,792791,600386,726417,778828,747534.0,843005,
country,BR,Anidro Producao,flow,Oct (2),428339,738913,635750,499175,834354,735186,664263.0,830492,
country,BR,Anidro Producao,flow,Nov (1),358495,481615,486606,372729,680276,697332,433615.0,616793,
country,BR,Anidro Producao,flow,Nov (2),231737,316916,269309,232030,455250,477804,431558.0,478917,
country,BR,Anidro Producao,flow,Dec (1),113609,137590,138053,127223,272271,363996,255090.0,381705,
country,BR,Anidro Producao,flow,Dec (2),69219,94696,91119,93477,203001,178705,208304.0,314673,
country,BR,Anidro Producao,flow,Jan (1),315226,77468,70087,93431,171171,197298,177918.0,285886,
country,BR,Anidro Producao,flow,Jan (2),100488,80575,77884,83246,160305,177857,205759.0,289449,
country,BR,Anidro Producao,flow,Feb (1),36694,48384,63411,82670,154258,128489,167721.0,254616,
country,BR,Anidro Producao,flow,Feb (2),31499,28250,25974,38257,98624,132800,147376.0,203816,
country,BR,Anidro Producao,flow,Mar (1),39016,42891,38614,54232,144908,116536,102307.0,220481,
country,BR,Anidro Producao,flow,Mar (2),9101049,67128,60877,55974,206952,197586,101511.0,271343,
country,BR,Anidro Saidas Distrib,flow,Apr (1),318495,309040,194814,308612,356214,388643,475975.0,485646,537847.0
country,BR,Anidro Saidas Distrib,flow,Apr (2),308680,315162,309105,346131,391939,426412,476125.0,481259,573172.0
country,BR,Anidro Saidas Distrib,flow,May (1),329256,393718,300640,401443,413527,511313,496039.0,511480,615611.0
country,BR,Anidro Saidas Distrib,flow,May (2),217587,451294,312181,481656,512988,583952,567667.0,627370,580031.0
country,BR,Anidro Saidas Distrib,flow,Jun (1),496966,389157,341749,448622,461790,603771,530714.0,475505,657237.0
country,BR,Anidro Saidas Distrib,flow,Jun (2),345658,362136,381713,448194,454017,590079,512204.0,590595,692658.0
country,BR,Anidro Saidas Distrib,flow,Jul (1),345687,391335,409578,533602,502216,579396,510929.0,542150,605657.0
country,BR,Anidro Saidas Distrib,flow,Jul (2),435418,461307,451702,510559,520833,605213,558326.0,616327,730371.0
country,BR,Anidro Saidas Distrib,flow,Aug (1),403839,446334,408448,458898,537237,510111,533263.0,638363,
country,BR,Anidro Saidas Distrib,flow,Aug (2),478736,456338,494708,508474,623342,560836,584441.0,574565,
country,BR,Anidro Saidas Distrib,flow,Sep (1),402194,368434,412306,518594,504437,509244,504499.0,636636,
country,BR,Anidro Saidas Distrib,flow,Sep (2),384820,419389,482152,514461,568356,522232,578101.0,647784,
country,BR,Anidro Saidas Distrib,flow,Oct (1),381857,415716,418899,514892,532550,505856,582873.0,644434,
country,BR,Anidro Saidas Distrib,flow,Oct (2),445943,503519,524098,464118,586819,628780,610150.0,713866,
country,BR,Anidro Saidas Distrib,flow,Nov (1),363343,463936,459983,479004,578916,543142,555923.0,624815,
country,BR,Anidro Saidas Distrib,flow,Nov (2),412805,467995,497118,532743,569831,572626,567513.0,610654,
country,BR,Anidro Saidas Distrib,flow,Dec (1),412182,440922,473308,505084,580566,556218,545866.0,705706,
country,BR,Anidro Saidas Distrib,flow,Dec (2),333786,533186,478637,500351,623667,464206,599814.0,679161,
country,BR,Anidro Saidas Distrib,flow,Jan (1),565083,454943,412378,485631,559166,595240,604308.0,684142,
country,BR,Anidro Saidas Distrib,flow,Jan (2),451337,396798,492834,442503,606847,654716,573047.0,714519,
country,BR,Anidro Saidas Distrib,flow,Feb (1),376638,361148,455007,493585,564191,537924,551722.0,631566,
country,BR,Anidro Saidas Distrib,flow,Feb (2),320285,380305,316465,434012,430673,547842,491570.0,541596,
country,BR,Anidro Saidas Distrib,flow,Mar (1),381870,385634,412958,469465,491168,591235,505484.0,617478,
country,BR,Anidro Saidas Distrib,flow,Mar (2),9368360,448404,453511,592037,784963,704818,658260.0,725398,
country,BR,Anidro Saidas M.Ext,flow,Apr (1),4364,5991,0,8953,17014,16429,1667.0,17651,28330.0
country,BR,Anidro Saidas M.Ext,flow,Apr (2),31416,44551,30036,8986,52749,16066,24264.0,24206,7770.0
country,BR,Anidro Saidas M.Ext,flow,May (1),46764,7937,9906,0,17848,20550,0.0,8204,0.0
country,BR,Anidro Saidas M.Ext,flow,May (2),9624,113887,51413,64315,32934,45494,39094.0,17429,13.0
country,BR,Anidro Saidas M.Ext,flow,Jun (1),23706,50422,62440,21158,28711,17931,12650.0,17405,18905.0
country,BR,Anidro Saidas M.Ext,flow,Jun (2),38675,68304,42259,55539,166212,36003,37536.0,21040,8664.0
country,BR,Anidro Saidas M.Ext,flow,Jul (1),42986,80383,48083,0,8050,54241,27181.0,3036,11855.0
country,BR,Anidro Saidas M.Ext,flow,Jul (2),110073,71353,135170,68081,105937,131672,45228.0,21097,3904.0
country,BR,Anidro Saidas M.Ext,flow,Aug (1),11550,81000,28172,42466,51955,8610,67166.0,23190,
country,BR,Anidro Saidas M.Ext,flow,Aug (2),96338,136835,101743,20148,80827,136081,33294.0,25570,
country,BR,Anidro Saidas M.Ext,flow,Sep (1),25621,28961,65681,2236,36094,9074,0.0,11859,
country,BR,Anidro Saidas M.Ext,flow,Sep (2),50018,98319,122349,55302,173543,68397,13619.0,15385,
country,BR,Anidro Saidas M.Ext,flow,Oct (1),30884,52453,30533,2430,22412,2088,383.0,0,
country,BR,Anidro Saidas M.Ext,flow,Oct (2),64526,90074,161071,18864,145087,80928,30578.0,15948,
country,BR,Anidro Saidas M.Ext,flow,Nov (1),52225,40013,61885,12136,30547,30630,33860.0,1466,
country,BR,Anidro Saidas M.Ext,flow,Nov (2),10551,53000,28826,38854,108208,136222,30784.0,13988,
country,BR,Anidro Saidas M.Ext,flow,Dec (1),46111,1973,33,28817,23841,12574,1449.0,0,
country,BR,Anidro Saidas M.Ext,flow,Dec (2),10960,28420,41303,40812,131934,31162,34617.0,9036,
country,BR,Anidro Saidas M.Ext,flow,Jan (1),101515,0,9966,20526,17389,32409,7934.0,114,
country,BR,Anidro Saidas M.Ext,flow,Jan (2),21570,39000,50829,23837,103956,40665,33253.0,42705,
country,BR,Anidro Saidas M.Ext,flow,Feb (1),51207,21022,113,13191,15307,1350,21496.0,0,
country,BR,Anidro Saidas M.Ext,flow,Feb (2),9960,61446,36524,1339,53099,22655,10234.0,0,
country,BR,Anidro Saidas M.Ext,flow,Mar (1),36334,29027,1277,940,16602,2849,6076.0,877,
country,BR,Anidro Saidas M.Ext,flow,Mar (2),1116248,52627,17682,67733,36721,104613,23417.0,13533,
country,BR,Anidro Saidas Outras,flow,Apr (1),173937,92875,96845,81557,83506,16853,88918.0,49118,25238.0
country,BR,Anidro Saidas Outras,flow,Apr (2),40467,78042,54920,51953,89424,37251,30245.0,33861,27376.0
country,BR,Anidro Saidas Outras,flow,May (1),21826,45367,58389,19329,29855,29862,31945.0,52976,18376.0
country,BR,Anidro Saidas Outras,flow,May (2),12955,52842,62646,19228,24155,18661,26224.0,51277,27504.0
country,BR,Anidro Saidas Outras,flow,Jun (1),20364,20658,34902,34450,30717,12576,16452.0,28451,22731.0
country,BR,Anidro Saidas Outras,flow,Jun (2),23750,45079,53431,41392,8175,23953,25839.0,28813,45494.0
country,BR,Anidro Saidas Outras,flow,Jul (1),26125,36257,49790,48595,23383,16950,23290.0,31491,22750.0
country,BR,Anidro Saidas Outras,flow,Jul (2),40052,51466,31290,38890,29014,48271,30137.0,38180,50350.0
country,BR,Anidro Saidas Outras,flow,Aug (1),49838,54642,35836,27801,26852,18234,20082.0,33199,
country,BR,Anidro Saidas Outras,flow,Aug (2),89135,60709,26773,22455,17430,39078,36371.0,32297,
country,BR,Anidro Saidas Outras,flow,Sep (1),61439,28553,31092,33754,27354,28886,40606.0,24790,
country,BR,Anidro Saidas Outras,flow,Sep (2),81355,88974,20162,29849,23204,46432,38697.0,40835,
country,BR,Anidro Saidas Outras,flow,Oct (1),56240,27418,25697,31809,23083,29960,61716.0,31808,
country,BR,Anidro Saidas Outras,flow,Oct (2),37672,25125,30168,29596,26600,25594,36426.0,36927,
country,BR,Anidro Saidas Outras,flow,Nov (1),35595,21874,23439,35304,24740,44038,35476.0,25500,
country,BR,Anidro Saidas Outras,flow,Nov (2),28656,24109,29337,32529,31684,35207,50000.0,28268,
country,BR,Anidro Saidas Outras,flow,Dec (1),34632,13999,31101,38327,29073,29785,32750.0,23858,
country,BR,Anidro Saidas Outras,flow,Dec (2),35172,55350,48072,37474,28286,22184,33689.0,28629,
country,BR,Anidro Saidas Outras,flow,Jan (1),37822,22137,23444,36450,24281,24567,33489.0,18781,
country,BR,Anidro Saidas Outras,flow,Jan (2),108035,72686,47389,41711,37221,62752,39627.0,32839,
country,BR,Anidro Saidas Outras,flow,Feb (1),107541,121016,45029,62060,27718,45912,96165.0,35333,
country,BR,Anidro Saidas Outras,flow,Feb (2),95926,89046,47456,53475,26391,114525,73956.0,30264,
country,BR,Anidro Saidas Outras,flow,Mar (1),91642,130739,118671,88220,20331,81479,72748.0,34567,
country,BR,Anidro Saidas Outras,flow,Mar (2),1526013,142202,197587,188786,42545,176382,195495.0,71284,
country,BR,Cana,flow,Apr (1),22417389,15180660,24183378,17423472,5390351,15371074,18116982.0,19191564,23058993.0
country,BR,Cana,flow,Apr (2),35051109,32367262,38212206,30045586,23958508,21315630,34933230.0,17851693,39677951.0
country,BR,Cana,flow,May (1),43072161,38972550,42651695,41589384,33623690,43633430,45247466.0,42111439,42648750.0
country,BR,Cana,flow,May (2),32005232,44935771,42747092,43689769,44141886,47219225,45634217.0,47657812,41606560.0
country,BR,Cana,flow,Jun (1),40704759,42618663,42326852,35413552,40364910,40167539,49634904.0,38647789,39867177.0
country,BR,Cana,flow,Jun (2),45981341,45639223,43473418,46275901,42477425,43712998,49675304.0,44257956,31876415.0
country,BR,Cana,flow,Jul (1),44190659,43407030,47283060,47681145,44570683,51963216,44152445.0,50264221,51373825.0
country,BR,Cana,flow,Jul (2),47764517,51482232,51697755,48582699,52512806,53946610,52252629.0,51291127,46880164.0
country,BR,Cana,flow,Aug (1),33792708,43063684,47640743,45930026,39403102,48466564,44786662.0,48637743,
country,BR,Cana,flow,Aug (2),42198095,49416350,44340841,44718788,45976505,48634486,48213076.0,52228758,
country,BR,Cana,flow,Sep (1),43526971,41872353,50754164,41031161,41735357,43951898,46353317.0,48274105,
country,BR,Cana,flow,Sep (2),30930066,39111782,44008561,40938687,30263291,49397322,43367016.0,43762228,
country,BR,Cana,flow,Oct (1),29736832,42183205,41105622,24970261,32208771,38566661,38769446.0,38965955,
country,BR,Cana,flow,Oct (2),28866607,39100391,31541032,22339007,37021965,40528543,32557831.0,36626953,
country,BR,Cana,flow,Nov (1),24850346,24272946,24734502,16476752,31286613,39160813,21299920.0,24230552,
country,BR,Cana,flow,Nov (2),18536453,15359707,12567565,8408000,19983006,28343939,24638891.0,20057272,
country,BR,Cana,flow,Dec (1),16987709,6276597,6447001,4877122,9090462,22992651,12775956.0,10987641,
country,BR,Cana,flow,Dec (2),5725176,4443625,4484566,3610720,6191417,7537785,5819923.0,6021925,
country,BR,Cana,flow,Jan (1),17613323,3752953,3581186,3203428,4158999,5322615,3520635.0,4613011,
country,BR,Cana,flow,Jan (2),3943868,3479416,3207517,3225685,3879849,4630886,3897801.0,4265285,
country,BR,Cana,flow,Feb (1),2014466,2953563,2794207,2558422,3412417,3662318,2584451.0,3288659,
country,BR,Cana,flow,Feb (2),1661022,1757363,1852959,1969492,2607982,2794043,2410310.0,2297429,
country,BR,Cana,flow,Mar (1),2564200,3334280,2670174,1993471,3685758,3897357,2075563.0,2504855,
country,BR,Cana,flow,Mar (2),587066209,8220932,1752107,2814574,9967212,7729029,4515598.0,5781009,
country,BR,Etanol Total,flow,Apr (1),1000923,797690,1071149,824400,390197,737028,960451.0,1064122,1417339.0
country,BR,Etanol Total,flow,Apr (2),1657149,1515357,1622855,1318505,1076502,862897,1555671.0,1035986,2147957.0
country,BR,Etanol Total,flow,May (1),2070828,1831084,1854563,1851329,1705778,1904597,2036904.0,1803433,2222887.0
country,BR,Etanol Total,flow,May (2),1704099,2203748,1848848,2040133,2073461,2177358,2170336.0,2110907,2185528.0
country,BR,Etanol Total,flow,Jun (1),2151104,2137754,1885077,1685042,1901015,2140172,2311226.0,1831995,2250875.0
country,BR,Etanol Total,flow,Jun (2),2340766,2379237,2010898,2167673,2067608,1969451,2390799.0,2031618,1811809.0
country,BR,Etanol Total,flow,Jul (1),2366953,2279412,2182161,2337227,2229911,2530053,2200890.0,2249336,2546798.0
country,BR,Etanol Total,flow,Jul (2),2635081,2747068,2475145,2362872,2554109,2530062,2642613.0,2413004,2512257.0
country,BR,Etanol Total,flow,Aug (1),1979743,2453580,2351913,2391931,2064767,2404892,2382113.0,2290685,
country,BR,Etanol Total,flow,Aug (2),2400985,2814130,2283493,2354498,2357086,2429736,2596675.0,2587449,
country,BR,Etanol Total,flow,Sep (1),2475460,2483568,2440118,2119897,2230503,2212618,2608299.0,2491576,
country,BR,Etanol Total,flow,Sep (2),1760454,2354195,2337001,2207527,1621554,2382310,2425652.0,2360423,
country,BR,Etanol Total,flow,Oct (1),1635427,2471695,2224870,1473854,1546805,2023987,2226816.0,2257524,
country,BR,Etanol Total,flow,Oct (2),1583593,2334009,1721292,1178779,1794628,1952818,1840314.0,2153446,
country,BR,Etanol Total,flow,Nov (1),1254454,1567675,1339110,1001739,1493617,1802542,1231828.0,1564214,
country,BR,Etanol Total,flow,Nov (2),921874,958736,744590,545292,1018040,1401958,1421888.0,1365097,
country,BR,Etanol Total,flow,Dec (1),883994,422648,407591,353350,608877,1163210,907379.0,980884,
country,BR,Etanol Total,flow,Dec (2),344950,294795,280871,226141,447349,576724,618250.0,757811,
country,BR,Etanol Total,flow,Jan (1),1006442,249682,250873,310228,323472,483494,472372.0,625257,
country,BR,Etanol Total,flow,Jan (2),219506,260280,236605,260474,322539,502374,509057.0,634089,
country,BR,Etanol Total,flow,Feb (1),115863,203611,216876,229765,339490,360833,463555.0,562096,
country,BR,Etanol Total,flow,Feb (2),111138,163773,126902,176531,197490,388354,428601.0,472416,
country,BR,Etanol Total,flow,Mar (1),168713,251554,263648,215792,349680,390563,424352.0,537012,
country,BR,Etanol Total,flow,Mar (2),31819703,490337,442780,318354,665781,648712,546524.0,739543,
country,BR,Hidratado Entradas,flow,Apr (1),524191,902605,1173324,1239099,1270453,1393536,1816665.0,1386967,1097946.0
country,BR,Hidratado Entradas,flow,Apr (2),78633,77166,68635,97800,251555,89156,74769.0,99987,93840.0
country,BR,Hidratado Entradas,flow,May (1),63213,65825,94720,47760,160860,96533,90171.0,78097,55659.0
country,BR,Hidratado Entradas,flow,May (2),40523,77927,139412,81409,61011,98722,74919.0,98069,53290.0
country,BR,Hidratado Entradas,flow,Jun (1),51809,79331,88860,99054,52194,98433,62706.0,80666,60600.0
country,BR,Hidratado Entradas,flow,Jun (2),101078,61452,100410,86237,61177,182537,64844.0,95844,68510.0
country,BR,Hidratado Entradas,flow,Jul (1),90259,90212,107162,92480,85266,78884,80472.0,114777,65096.0
country,BR,Hidratado Entradas,flow,Jul (2),152993,114481,109090,145676,85464,104596,95820.0,99276,72628.0
country,BR,Hidratado Entradas,flow,Aug (1),107777,131279,108779,109958,101232,101699,82321.0,122681,
country,BR,Hidratado Entradas,flow,Aug (2),156089,126421,120988,121622,103397,104633,152959.0,103582,
country,BR,Hidratado Entradas,flow,Sep (1),96518,112249,103034,106149,92578,99774,115429.0,106049,
